title,author
The Berenstain Bears: In The Dark,Berenstain & Berenstain
Can I Be Your Dog?,Cummings
Miss Mingo and the Fire Drill,Harper
When I Close My Eyes,Jackson
A Snowman for Little Bear,Moroney
One Hungry Monster,O’Keefe
Tooth Trouble,Clarke
Uptown,Collier
Little Bat,Cox
Potato Pants,Keller
The Wonky Donkey,Smith
Froggie Went A-Courtin’,Trapani
Froggy Goes to School,London
Fresh Fall Leaves,Franco
The Best Thanksgiving Ever!,Slater
Biscuit’s Christmas,Capucilli
Christmas Cats,Marzollo
The Good Egg,John & Oswald
Squirrel’s Busy Day,Barnard
Just Say Please,Mayer & Mayer
Don’t Call Me Bear!,Blabey
There’s Only One Scruffle,Dunn
Humpty Dumpty Climbs Again,Horowitz
The Otter Who Loved to Hold Hands,Howarth & Howarth
I’m the Happiest,Shuttlewood
Batmouse,Smallman
"Hello, Mr Moon",Gutierrez & Watkins
"Sleep, Little Pup",Parry
The Wedding,Bunting
Shark’s Big Surprise,Benjamin & Bolton
Little Bear and the Butterflies,Quinn & Pedler
"In a Minute, Mom",Benjamin & East
Grandma Loves You!,James
Old MacDonald Had a… Zoo?,Trapani
If You Give a Moose a Muffin,Numeroff
If You Give a Pig a Pancake,Numeroff
If You Give a Mouse a Cookie,Numeroff
I’ll Love You Forever,Hart
This Is Baby,Fallon
Where Do Balloons Go?: An Uplifting Mystery,Curtis
Storm Song,Vaiu
When A Dragon Moves In,Moore
The Day the Crayons Quit,Daywalt
Penguin Problems,John & Smith
Marisol McDonald Doesn’t Match,Brown
Calvin Can’t Fly: The Story of a Bookworm Birdie,Berne
Catching the Moon: The Story of a Young Girl’s Baseball Dream,Hubbard
Look What I Can Do!,Vaiu
Hop on Pop,Seuss
Winnie the Pooh Storybook Collection,
"Pancakes, Pancakes!",Carle
"Oh, The Places You’ll Go",Seuss
The Magic School Bus and the Climate Challenge,Cole & Dean
Danny and the Dinosaur,Hoff
Clara and the Bookwagon,Levinson
Teeny Witch and Christmas Magic,Matthews
Dinosaur Garden,Donnelly
Teeny Witch Goes on Vacation,Matthews
Teeny Witch and the Terrible Twins,Matthews
Teeny Witch and the Perfect Valentine,Matthews
Teeny Witch and the Tricky Easter Bunny,Matthews
Teeny Witch and the Great Halloween Ride,Matthews
Teeny Witch Goes to the Library,Matthews
Teeny Witch Goes to School,Matthews
"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Slobodkina
Silly Sidney,Matthews
Lady Lovely Locks and the Pixietails: The Golden Ball,
"No Tooth, No Quarter!",Buller
The Three Billy Goats Gruff,Brown
Once a Mouse…,Brown
Cinderella,Brown
Stone Soup,Brown
My First Words From A to Z,Allen
One Day in the Tropical Rain Forest,George
One Day in the Woods,George
The Boy in the Ocean,Lucado
A Pocket for Corduroy,Freeman
Corduroy’s Valentine’s Day,Freeman
Corduroy Goes to the Beach,Freeman
